date,product_id,product_name,category,region,warehouse_location,selling_price,discount_percentage,competitor_pricing,promotion_active,marketing_spend,units_sold,previous_month_sales,current_inventory_level,units_ordered,safety_stock,lead_time,supplier_reliability,weather_condition,season,festival_holiday,epidemic_pandemic,inflation_rate,fuel_price_index,economic_condition,month,quarter,weekday,year,forecasted_demand
2024-01-17,PRD-7420,Product 7420,Electronics,West,WH-Beta,138.6176538712896,0.9190494887621026,128.33324384203468,0,39.274571660713434,469,455.0159832022198,505,148,107,7,0.9692267713685037,Sunny,Autumn,0,0.0,2.276362743550957,3.508673682909254,Poor,1,1,2,2024,351
2024-01-18,PRD-2184,Product 2184,Toys,South,WH-Alpha,294.7955839697978,34.481925982945306,296.359147186013,0,24.39267511831561,274,236.06338145214056,1943,439,195,4,0.7652516001063501,Rainy,Winter,0,0.0,4.327124734263889,2.934379741651797,Good,1,1,3,2024,244
2024-01-19,PRD-5555,Product 5555,Toys,North,WH-Beta,361.9022943046517,15.06958978831796,354.35568063285496,1,450.96704639349883,548,652.4303048408232,1716,72,155,4,0.8910018604004151,Sunny,Winter,0,0.0,2.304855081724445,3.0331321140843635,Good,1,1,4,2024,508
2024-01-20,PRD-4385,Product 4385,Electronics,West,WH-Delta,70.9667245574278,31.29919569589768,66.42990656635145,1,321.5234937782392,983,881.5701251595416,298,90,177,9,0.9642295034824309,Rainy,Winter,0,0.0,5.759925375251291,2.841200106613128,Poor,1,1,5,2024,679
2024-01-21,PRD-7396,Product 7396,Electronics,South,WH-Alpha,303.80265742158645,7.527229403111235,324.5533343258525,0,24.949363188739998,395,429.39538506553043,497,175,45,15,0.7104740843809652,Sunny,Autumn,1,0.0,4.537548117063755,2.613258429701916,Good,1,1,6,2024,491
2024-01-22,PRD-9666,Product 9666,Electronics,East,WH-Alpha,279.672126630988,23.452002333298143,252.32178389692794,1,742.252001588787,94,80.58267731856911,1067,125,171,10,0.9486375115900587,Cloudy,Autumn,0,0.0,1.9289663160182509,3.738376926209823,Average,1,1,0,2024,374
2024-01-23,PRD-3558,Product 3558,Grocery,West,WH-Delta,261.83816887844694,25.221237303171844,251.99977128519188,0,32.64090118269702,717,667.9608176332318,1029,203,174,6,0.8231798265069323,Cloudy,Summer,0,0.0,2.3416450350262026,3.8455773878286688,Good,1,1,1,2024,548
2024-01-24,PRD-8849,Product 8849,Grocery,West,WH-Alpha,348.1603276641839,29.253890818660803,314.22131342096765,1,598.8331387948889,325,317.4635890959551,1643,401,186,16,0.8973923725795635,Cloudy,Winter,0,0.0,4.4855704415838655,2.8319999872173396,Average,1,1,2,2024,457
2024-01-25,PRD-3047,Product 3047,Grocery,East,WH-Beta,420.3503015908963,25.658500816528218,386.3865812155432,0,21.835329284474614,252,220.97698605632806,1077,245,85,18,0.8117213689676661,Rainy,Autumn,0,0.0,3.645017232718239,3.7307847693721463,Good,1,1,3,2024,287
2024-01-26,PRD-3747,Product 3747,Furniture,North,WH-Gamma,168.2649447566655,24.784538511435695,161.4366260623135,0,42.76151816720344,478,468.4322710016781,1309,98,198,11,0.9086548769042482,Rainy,Autumn,0,0.0,4.813339497948953,4.464169480115157,Average,1,1,4,2024,345
2024-01-27,PRD-1189,Product 1189,Toys,East,WH-Delta,445.6159731543701,16.636707699192776,405.8911972572385,1,909.6757005215643,889,767.0870998558663,222,270,92,9,0.7762884743673097,Snowy,Autumn,1,0.0,2.763549595165466,2.6488041898756443,Average,1,1,5,2024,618
2024-01-28,PRD-3734,Product 3734,Toys,West,WH-Beta,88.71047018308984,3.5590118159043116,90.4248981749787,1,413.42102448525657,351,359.284518073619,1395,497,69,19,0.7065791627306188,Rainy,Summer,0,0.0,4.460628915811846,3.4807417449977276,Poor,1,1,6,2024,323
2024-01-29,PRD-4005,Product 4005,Clothing,North,WH-Delta,94.78169617807053,4.476009839842115,86.9501293110415,0,17.811575438042077,186,198.18026598750242,420,43,64,7,0.9843362544363861,Rainy,Spring,0,0.0,2.296320756136976,3.9660764272877076,Good,1,1,0,2024,232
2024-01-30,PRD-5658,Product 5658,Grocery,South,WH-Delta,140.71831117572273,21.688913720357682,146.39527156110248,1,661.6248073584092,139,114.6713461919574,1621,221,106,18,0.7049103292120248,Cloudy,Autumn,0,0.0,3.946696185124649,2.592018395659454,Good,1,1,1,2024,349
2024-01-31,PRD-2899,Product 2899,Furniture,South,WH-Alpha,68.57012607806813,17.78965639104965,62.435048730233376,0,2.495196045544912,666,764.8695970562896,840,428,52,5,0.9472297868900521,Sunny,Autumn,0,0.0,5.8100981619749374,4.056546987995231,Good,1,1,2,2024,541
2024-02-01,PRD-8734,Product 8734,Furniture,South,WH-Alpha,122.85642009461002,25.806740233724888,112.02807378415513,1,742.5741605396562,92,80.41318456954691,798,96,38,16,0.7507412779967421,Rainy,Autumn,0,0.0,4.327000045309439,4.459022474185772,Average,2,1,3,2024,296
2024-02-02,PRD-2267,Product 2267,Toys,West,WH-Beta,62.141763822393855,15.241908462813347,59.72228542147153,0,1.0374436870189463,369,328.4634939772798,836,35,160,11,0.8176660685806083,Snowy,Winter,0,0.0,1.724971278772124,2.676975727065506,Average,2,1,4,2024,284
2024-02-03,PRD-2528,Product 2528,Grocery,East,WH-Delta,412.6586843228413,34.395504572766214,445.3884210695863,0,5.172305834646745,97,103.26037379522283,1369,167,132,14,0.9467477129518167,Sunny,Winter,0,0.0,5.94942961981482,4.144459810931851,Average,2,1,5,2024,261
2024-02-04,PRD-4556,Product 4556,Clothing,North,WH-Alpha,78.09480602444606,43.197741100475525,80.3032216908888,0,17.37821405808706,541,534.2377294780072,889,434,41,2,0.7617796450937036,Rainy,Autumn,0,0.0,2.205898483419895,3.2571630890241883,Good,2,1,6,2024,487
2024-02-05,PRD-4890,Product 4890,Grocery,South,WH-Alpha,376.17580320432984,14.943159439343384,396.4991743467268,0,2.176009267788137,751,750.8184379909881,449,29,167,10,0.9597122816575108,Sunny,Summer,1,0.0,4.731310962136973,2.7882324048680234,Average,2,1,0,2024,558
2024-02-06,PRD-9838,Product 9838,Electronics,North,WH-Delta,33.47779527753353,9.649200396951429,31.077786258215692,0,20.022261322594243,981,835.0880159425733,1131,281,116,6,0.8493276817305704,Sunny,Spring,0,0.0,3.8963851757888817,3.4863864183926956,Good,2,1,1,2024,620
2024-02-07,PRD-6393,Product 6393,Grocery,West,WH-Beta,474.7749604818184,5.809028712704456,506.5018383550048,0,6.51825120884455,994,1115.5605627780599,1948,84,24,12,0.8098460388151829,Sunny,Winter,0,0.0,2.8246230951193674,2.6430374715624314,Good,2,1,2,2024,644
2024-02-08,PRD-9792,Product 9792,Electronics,South,WH-Beta,358.4684428886054,30.812702028540624,323.2056331808592,0,17.493654535007696,647,677.2936388917695,1603,356,145,5,0.8987313240209008,Sunny,Spring,0,0.0,2.297897184424691,3.5442028163343684,Average,2,1,3,2024,543
2024-02-09,PRD-9433,Product 9433,Electronics,West,WH-Delta,13.330308807194774,22.19279955702847,12.565301982258053,1,360.32499815109327,480,409.99335231541556,597,490,97,17,0.8024169165942873,Sunny,Autumn,1,0.0,2.2996606392452206,2.5387135760080994,Good,2,1,4,2024,590
2024-02-10,PRD-8513,Product 8513,Clothing,East,WH-Beta,384.2896850981049,9.400785859814448,393.21230140551273,0,31.3182172238329,507,481.4470716327909,457,120,179,19,0.8041865076989071,Rainy,Winter,0,0.0,5.362798565436722,3.9572228833454606,Average,2,1,5,2024,301
2024-02-11,PRD-3612,Product 3612,Toys,West,WH-Alpha,261.9001411754308,32.65683666459277,255.36554453515876,0,22.270053889375458,516,580.0686101165102,690,286,49,9,0.9200579172814909,Sunny,Spring,1,0.0,5.428106313735405,3.475939371623177,Average,2,1,6,2024,520
2024-02-12,PRD-8041,Product 8041,Grocery,West,WH-Delta,391.88893346420866,7.42415915026422,429.83893983840983,0,4.591665392758021,363,372.9251526772573,1586,247,110,3,0.7929496673617323,Sunny,Autumn,0,0.0,3.593154847311204,3.417879321870361,Poor,2,1,0,2024,301
2024-02-13,PRD-7235,Product 7235,Electronics,East,WH-Alpha,266.02343635638834,27.715035292397626,241.03528285976424,0,30.957482965736656,425,358.4702924525982,113,183,173,18,0.7602317945063275,Snowy,Winter,0,0.0,1.9662965831623824,2.8923829874841673,Average,2,1,1,2024,351
2024-02-14,PRD-6486,Product 6486,Grocery,North,WH-Gamma,324.10218024132377,26.357419081263235,356.42153089983645,0,8.185482625452517,60,56.94664909894288,623,252,101,11,0.9422938383989716,Snowy,Autumn,0,0.0,5.478742967310555,3.2225263115895313,Good,2,1,2,2024,220
2024-02-15,PRD-8099,Product 8099,Toys,East,WH-Gamma,395.3025111435698,36.711390059304165,405.076589699033,0,3.829317193080745,609,546.3203554638169,1951,444,107,14,0.9416113101181696,Sunny,Winter,0,0.0,3.691574187787901,2.8637388648433326,Average,2,1,3,2024,399
2024-02-16,PRD-1775,Product 1775,Toys,East,WH-Beta,208.5029467480498,2.7554819970333377,210.9510630216514,0,33.19980087298039,691,695.82747902989,469,272,151,16,0.8492757111120608,Rainy,Spring,0,0.0,3.4744309029011116,3.9707802010714786,Good,2,1,4,2024,433
2024-02-17,PRD-9226,Product 9226,Furniture,West,WH-Gamma,11.326993412021523,44.39364659256652,10.32911347979046,0,45.60299489105037,72,81.8888005115133,1916,208,124,10,0.8579966848488865,Snowy,Spring,0,0.0,3.333106609969291,2.8980505988660545,Good,2,1,5,2024,265
2024-02-18,PRD-4152,Product 4152,Toys,North,WH-Alpha,426.47378301314234,35.149586307340975,407.13992471951514,0,23.029671838526117,98,95.50167168433326,195,353,86,9,0.9088229877302916,Snowy,Winter,0,0.0,3.1425637823664254,3.7335066541034303,Average,2,1,6,2024,184
2024-02-19,PRD-2585,Product 2585,Clothing,South,WH-Gamma,196.63627768608467,10.80629991743811,213.33709574564978,0,2.049795530405701,710,691.0691366246037,1345,381,137,7,0.85278228752873,Sunny,Summer,0,0.0,3.8670243162386737,3.0592150021355042,Average,2,1,0,2024,443
2024-02-20,PRD-4943,Product 4943,Electronics,East,WH-Alpha,253.0609357481257,9.170267430486984,245.68400718373385,1,951.7005470114076,199,231.26593182523214,66,23,190,5,0.8251119876907698,Rainy,Autumn,1,0.0,4.220435519752669,3.813964391846654,Good,2,1,1,2024,486
2024-02-21,PRD-8555,Product 8555,Furniture,North,WH-Beta,13.805654655444672,21.58301070718917,14.252000307364318,0,3.3486883061787043,908,935.6705418226413,1865,121,49,19,0.9984682579890237,Cloudy,Spring,0,0.0,3.5989449160783016,3.5809099178426846,Good,2,1,2,2024,613
2024-02-22,PRD-4073,Product 4073,Clothing,East,WH-Beta,251.125085071548,40.87826647722984,276.21229776991385,1,493.3934904190315,610,626.1506253249673,147,224,130,4,0.7442921283557676,Rainy,Summer,0,0.0,5.5349167355477,3.3468772633054398,Average,2,1,3,2024,605
2024-02-23,PRD-2021,Product 2021,Grocery,East,WH-Alpha,493.3788267701475,42.147499656955354,469.999549447123,0,19.59096866114655,357,323.0007325598056,501,387,163,5,0.8778183937719581,Snowy,Winter,1,0.0,2.9294755283827376,3.8460016668209427,Good,2,1,4,2024,380
2024-02-24,PRD-4843,Product 4843,Electronics,East,WH-Gamma,146.3511538011971,26.022804606969153,148.5780586863932,1,436.895964355593,853,889.7550015620275,1812,392,58,14,0.965758907822698,Snowy,Spring,0,0.0,4.102403355540516,3.3314441432164585,Average,2,1,5,2024,715
2024-02-25,PRD-8989,Product 8989,Toys,East,WH-Beta,203.75495241876527,43.04054313433687,211.75998703982262,0,27.13986897282259,547,563.6092102709264,1024,385,105,12,0.9061645123543344,Snowy,Spring,0,0.0,2.8497926408729337,4.142741205150066,Good,2,1,6,2024,463
2024-02-26,PRD-7873,Product 7873,Electronics,West,WH-Delta,346.72309826965153,0.27218545958452856,323.46680224043894,0,47.85424087221094,185,177.36700880529793,947,418,60,9,0.9642769897264716,Snowy,Autumn,0,0.0,4.890075107066404,3.959196916470532,Good,2,1,0,2024,272
2024-02-27,PRD-6675,Product 6675,Grocery,North,WH-Beta,409.24889708659276,1.7587315765798306,380.49282392187325,1,825.5760167909581,373,446.21177843215776,1065,122,50,15,0.8009004161064017,Snowy,Summer,1,0.0,1.9595449469770605,3.5812779890261623,Average,2,1,1,2024,493
2024-02-28,PRD-1161,Product 1161,Furniture,North,WH-Gamma,214.52189576298915,45.59107968183714,212.64731383880263,0,23.51650441523836,785,904.9137629936993,1316,293,196,15,0.7815978928780717,Sunny,Autumn,0,0.0,2.3491454855789966,4.254121365171994,Average,2,1,2,2024,619
2024-02-29,PRD-5297,Product 5297,Furniture,North,WH-Delta,161.73774649663335,38.766596494295804,158.04406141487618,0,34.791161551190925,910,1000.8494095879607,528,172,160,17,0.9553817160706314,Sunny,Winter,0,0.0,5.1054063446712785,4.157723642936111,Average,2,1,3,2024,623
2024-03-01,PRD-1995,Product 1995,Furniture,East,WH-Gamma,469.53464199268285,22.535302912519285,489.6509556835039,0,29.021462617170616,916,929.6834235945233,250,142,188,15,0.8182343728556382,Sunny,Spring,0,0.0,2.324389178487924,3.5636787892409982,Average,3,1,4,2024,569
2024-03-02,PRD-8629,Product 8629,Toys,West,WH-Alpha,341.80103366911794,37.68050657389936,312.3725642882456,1,442.8568009066782,563,554.4558673866708,1979,490,175,2,0.9129046969171933,Snowy,Summer,0,0.0,4.31585855787633,2.6368953874015952,Good,3,1,5,2024,531
2024-03-03,PRD-2016,Product 2016,Clothing,East,WH-Delta,68.32043920163912,47.78197308617108,74.77216542370293,0,41.46637300310485,492,429.98780737992564,1546,425,146,3,0.7443245735242342,Sunny,Autumn,0,0.0,5.8660955335688865,3.6319927043984883,Average,3,1,6,2024,456
2024-03-04,PRD-8869,Product 8869,Clothing,East,WH-Gamma,43.77466028597782,38.604476194064254,39.52218826202133,0,1.7246914434296934,996,918.605809647426,228,386,83,2,0.9267514376130024,Snowy,Summer,0,0.0,3.853007761946846,3.210513979120571,Good,3,1,0,2024,646
2024-03-05,PRD-7439,Product 7439,Electronics,North,WH-Delta,246.93942688728083,42.1185666909161,251.94325059440254,1,660.8803048103548,128,142.02679295094836,557,414,136,12,0.8646947947074608,Rainy,Winter,0,0.0,2.3432840085303117,3.5802258856074682,Average,3,1,1,2024,408
2024-03-06,PRD-8892,Product 8892,Toys,East,WH-Gamma,117.8441323631635,38.03032906950309,119.32030914669252,0,47.96645541169336,178,174.70692552035368,502,435,38,7,0.7805834919731383,Cloudy,Spring,1,0.0,2.9431097056168687,3.7942609209951867,Average,3,1,2,2024,366
2024-03-07,PRD-7863,Product 7863,Furniture,South,WH-Delta,134.45252915436419,8.410554621677079,124.62985038539043,1,530.2970641238238,629,725.1790103688865,319,168,130,16,0.8483511891876715,Rainy,Summer,0,0.0,5.205561344044072,3.789677149701279,Good,3,1,3,2024,549
2024-03-08,PRD-8916,Product 8916,Furniture,East,WH-Gamma,440.0691676256456,41.67870548228684,409.34494504191093,0,0.5610444988731256,156,134.029654907961,1307,56,133,13,0.909083087751911,Cloudy,Winter,0,0.0,3.0824741090398815,3.847048087036003,Good,3,1,4,2024,236
2024-03-09,PRD-9529,Product 9529,Grocery,South,WH-Alpha,53.88735191499222,9.755441001210501,57.041674871469205,1,675.2754235535477,697,699.3271703686019,1697,41,44,6,0.703565922654215,Sunny,Winter,0,0.0,4.755801115634161,3.8585372500900297,Average,3,1,5,2024,574
2024-03-10,PRD-1878,Product 1878,Grocery,East,WH-Delta,360.5284164621559,44.63056640220735,388.4738723444969,0,49.688502117218135,446,472.2186780294014,535,308,185,13,0.8912401176442388,Cloudy,Spring,0,0.0,4.998075282978046,2.718562837427008,Good,3,1,6,2024,485
2024-03-11,PRD-5887,Product 5887,Furniture,West,WH-Delta,142.85970415648816,22.932494904053797,136.6600777443238,0,24.641253794974293,448,451.0192433703803,627,118,140,15,0.8624772334819824,Rainy,Autumn,0,0.0,3.7553228126032385,2.8834246609145873,Poor,3,1,0,2024,304
2024-03-12,PRD-5859,Product 5859,Furniture,West,WH-Delta,382.5608284880275,33.848837615551425,377.8143170195089,0,28.64330019834263,897,1036.6546087006934,387,120,118,15,0.7660858503240198,Rainy,Spring,0,0.0,5.024460229648751,3.761082009084702,Good,3,1,1,2024,633
2024-03-13,PRD-7331,Product 7331,Toys,North,WH-Delta,363.98157838713684,24.862042394032173,353.4257516197724,0,8.321009276122627,198,236.77341192086786,910,311,109,6,0.925894322192859,Cloudy,Spring,0,0.0,2.9260635199269647,3.3163447774620733,Good,3,1,2,2024,290
2024-03-14,PRD-9571,Product 9571,Clothing,East,WH-Alpha,13.622031707703583,4.699546470830102,12.457476079173896,0,44.71678043792648,169,143.0304229038766,806,250,22,4,0.7910382953899603,Rainy,Summer,0,0.0,3.822718410223826,4.025703290611527,Good,3,1,3,2024,226
2024-03-15,PRD-9684,Product 9684,Grocery,South,WH-Delta,259.4763523315836,14.536115381033255,268.46483352448854,0,11.563214982455644,823,701.1811544221224,806,342,149,19,0.7830582794639694,Sunny,Summer,0,0.0,4.589512187874632,2.7498185645256643,Good,3,1,4,2024,549
2024-03-16,PRD-8208,Product 8208,Clothing,South,WH-Beta,78.26654636524272,49.1865926998503,83.3568919471665,0,9.482381500976828,869,740.5006618734981,1521,331,24,7,0.8413655046997968,Rainy,Autumn,0,0.0,2.2563291628697115,2.8830459888410784,Average,3,1,5,2024,574
2024-03-17,PRD-6276,Product 6276,Toys,East,WH-Alpha,434.45124498355165,48.03573758349087,417.4971637628755,0,11.406120166016409,941,1009.1950589609464,633,455,39,10,0.9028449035267094,Cloudy,Winter,1,0.0,2.7312988532198537,3.616929284872946,Average,3,1,6,2024,706
2024-03-18,PRD-3062,Product 3062,Furniture,South,WH-Beta,437.0770826025792,16.024344882777363,479.92600377108283,0,45.98108513205044,411,390.06795009951577,1430,436,57,8,0.9786537927628763,Sunny,Summer,0,0.0,4.434164715271434,3.501496038535797,Average,3,1,0,2024,286
2024-03-19,PRD-1064,Product 1064,Clothing,West,WH-Delta,214.98944567194144,49.81484021226129,196.7519579554447,0,35.14233535884246,595,650.5288893812856,1122,340,120,19,0.7424071729396311,Cloudy,Autumn,0,0.0,4.4491205392329904,3.03279430795338,Good,3,1,1,2024,568
2024-03-20,PRD-9006,Product 9006,Furniture,South,WH-Gamma,227.75385304102946,42.27755977484498,235.12354473253262,0,38.429819724513756,873,839.9906383321329,1569,340,147,3,0.81894043622552,Snowy,Spring,0,0.0,3.7198619090384053,3.316686487010317,Poor,3,1,2,2024,517
2024-03-21,PRD-3568,Product 3568,Furniture,North,WH-Beta,158.60864030821827,30.547974971612735,156.9663434638035,0,18.851817909212638,27,28.378152590386286,395,415,121,11,0.7200968777537889,Snowy,Winter,0,0.0,5.080134105519543,2.569962556113306,Good,3,1,3,2024,153
2024-03-22,PRD-6463,Product 6463,Electronics,West,WH-Delta,361.1370864904152,2.0062310130504746,357.2802797187214,0,45.45885074652807,149,165.08353713846205,751,336,55,13,0.9275652242415227,Sunny,Spring,0,0.0,3.66924705902239,2.5740762159887485,Poor,3,1,4,2024,224
2024-03-23,PRD-3027,Product 3027,Clothing,West,WH-Beta,185.74406788296497,45.07234147691898,184.17065276884352,0,39.470397616969485,124,126.39150916848406,342,181,193,3,0.8343198669044082,Sunny,Winter,0,0.0,5.4659501943618,2.6898540056497433,Good,3,1,5,2024,297
2024-03-24,PRD-3695,Product 3695,Clothing,West,WH-Delta,141.21831251609055,27.871463963215987,134.40260197946284,1,417.1485899686257,337,342.32508399266084,1762,164,118,14,0.9120787405564555,Rainy,Summer,1,0.0,4.811565438923754,3.6535849064011208,Average,3,1,6,2024,486
2024-03-25,PRD-6258,Product 6258,Furniture,East,WH-Delta,221.79321915720905,43.42380756013848,231.35529383813815,0,48.54701418364758,234,195.4587328467354,1746,471,132,9,0.7966583271928862,Cloudy,Spring,0,0.0,2.9161268848650357,4.2274328292263075,Average,3,1,0,2024,302
2024-03-26,PRD-6618,Product 6618,Toys,East,WH-Delta,54.828884009854775,41.721455995287116,57.25864273945928,0,18.30984153966743,567,546.7652992918598,1223,263,56,8,0.953295172421897,Snowy,Spring,0,0.0,3.2786430381805,3.02044657851915,Good,3,1,1,2024,456
2024-03-27,PRD-7736,Product 7736,Electronics,West,WH-Gamma,375.83557027565985,41.6503107600543,359.47898903225826,0,30.54868233979406,448,456.2032658579088,1655,209,73,4,0.8604484234720344,Rainy,Winter,0,0.0,4.504590085964306,2.5678796594468407,Good,3,1,2,2024,461
2024-03-28,PRD-1391,Product 1391,Furniture,East,WH-Beta,16.17223662317561,34.90869303574525,17.2567677084321,1,380.8415473414188,559,550.4989126190093,1618,10,168,9,0.9830823465470966,Snowy,Autumn,0,0.0,5.52503678470571,3.917254204104625,Average,3,1,3,2024,500
2024-03-29,PRD-6892,Product 6892,Grocery,South,WH-Alpha,325.797680145091,14.570756933802432,313.8633816519779,0,39.544447159297626,727,843.5474056547941,845,181,168,2,0.7236443917432103,Rainy,Winter,0,0.0,2.3041892971657894,4.210704478010133,Good,3,1,4,2024,537
2024-03-30,PRD-4561,Product 4561,Grocery,East,WH-Alpha,99.60361810988748,16.808012887225992,104.0876360220309,1,520.519273392461,395,459.2318398748793,1929,443,111,16,0.8542830473626223,Rainy,Summer,0,0.0,3.8159859243389107,2.7763455705262032,Average,3,1,5,2024,508
2024-03-31,PRD-7184,Product 7184,Electronics,East,WH-Alpha,123.87798264506243,15.423460629134317,114.48802580053946,0,3.8106842390099427,530,598.2464846848175,1071,250,89,2,0.9299365737993096,Snowy,Autumn,0,0.0,2.0345298959596954,3.2714953918808005,Average,3,1,6,2024,472
2024-04-01,PRD-4099,Product 4099,Toys,West,WH-Alpha,321.4596793336196,1.0022999766282348,300.15986660000704,1,451.96259148884815,262,248.93123829910297,1333,137,103,13,0.8800457944220844,Rainy,Spring,0,0.0,2.7575481989405906,2.8174736811804095,Average,4,2,0,2024,302
2024-04-02,PRD-7278,Product 7278,Furniture,North,WH-Delta,496.5422982336245,29.128445460740558,478.2492474295212,0,26.327777843392607,629,683.6724665645837,1395,217,183,12,0.7069582421280528,Snowy,Spring,0,0.0,4.586916116819591,2.71271486121873,Poor,4,2,1,2024,384
2024-04-03,PRD-9392,Product 9392,Clothing,North,WH-Beta,391.08156964554985,34.941683522301645,398.42402972716764,0,9.20902307423132,910,871.884999829338,126,238,30,17,0.9917016035031643,Sunny,Spring,0,0.0,1.8498058586167276,3.796337076948749,Good,4,2,2,2024,614
2024-04-04,PRD-4104,Product 4104,Electronics,North,WH-Beta,120.66141978946207,42.693299676260175,124.17294427616879,0,44.11265616712987,107,95.5550060361625,1183,453,107,5,0.7894791079227694,Cloudy,Summer,0,0.0,4.480613618499813,4.435072952356263,Good,4,2,3,2024,406
2024-04-05,PRD-8215,Product 8215,Toys,South,WH-Gamma,96.25212997015556,7.0082716691365174,94.25694212887736,1,899.6516315561372,796,745.9802017066007,866,370,106,3,0.7747833599099145,Rainy,Spring,0,0.0,5.553650044253836,3.8563312512415244,Good,4,2,4,2024,574
